_fid;idnr;benennung;belegenheit;belegenheit_detail;gruen_code;gruen_art;bezirk;stadtteil;ortsteil;gemarkung;aktualitaet;flaeche_ha;veroeffentlichung_jahr;eigentum;verwaltungsvermoegen;geom;coordinate_reference_system
DE.HH.UP_FRIEDHOEFE_1;000049;Alter Friedhof Wandsbek v.1850;Kirchhofstraße 14;Kirchhofstraße 14;71;Friedhöfe;Wandsbek;Wandsbek;507;552;01.10.2025;1,7881;;Privat;Privat (Kirche);POLYGON ((570717.737000 5937236.219000,570764.863000 5937246.079000,570802.599000 5937252.702000,570806.150000 5937250.132000,570833.986000 5937053.841000,570831.625000 5937049.641000,570757.471000 5937023.932000,570751.259000 5937057.115000,570735.544000 5937141.061000,570717.737000 5937236.219000));EPSG:25832
DE.HH.UP_FRIEDHOEFE_2;000061;Jüdischer Friedhof Königsreihe;Königsreihe;Königsreihe;71;Friedhöfe;Wandsbek;Wandsbek;505;552;01.10.2025;0,4894;;Privat;Privat (Jüdische Gmd HH);POLYGON ((570718.916000 5936804.738000,570723.829000 5936780.351000,570725.630000 5936771.409000,570728.029000 5936767.433000,570729.231000 5936761.707000,570731.437000 5936751.194000,570704.243000 5936743.903000,570699.894000 5936742.670000,570686.616000 5936740.647000,570676.886000 5936739.805000,570643.340000 5936739.351000,570642.943000 5936741.927000,570634.771000 5936794.830000,570638.095000 5936795.721000,570638.672000 5936795.886000,570649.194000 5936798.894000,570653.991000 5936800.432000,570655.472000 5936794.911000,570656.223000 5936792.281000,570658.573000 5936789.011000,570662.329000 5936790.429000,570665.214000 5936791.760000,570667.069000 5936792.783000,570670.667000 5936794.473000,570675.202000 5936796.456000,570688.388000 5936799.795000,570702.625000 5936802.343000,570706.662000 5936802.860000,570710.624000 5936803.405000,570718.282000 5936804.694000,570718.916000 5936804.738000));EPSG:25832
DE.HH.UP_FRIEDHOEFE_3;000116;Jüdischer Friedhof Schwarzenberg;Schwarzenbergstraße;Schwarzenbergstraße;71;Friedhöfe;Harburg;Harburg;701;709;01.10.2025;0,1959;;Privat;Privat (Jüdische Gmd HH);POLYGON ((564630.548200 5924325.815800,564630.303000 5924325.647000,564604.930000 5924367.947000,564636.709000 5924385.697000,564638.670000 5924383.624000,564666.965000 5924353.704000,564666.643000 5924350.665000,564630.548200 5924325.815800));EPSG:25832
DE.HH.UP_FRIEDHOEFE_4;000111;Neuer Friedhof Bergedorf;August-Bebel-Straße;August-Bebel-Straße;70;Friedhöfe;Bergedorf;Bergedorf;603;603;01.10.2025;13,5232;;FHH;Stadtgrün;POLYGON ((582925.069000 5926271.624000,582943.394000 5926260.421000,582949.542000 5926265.317000,582971.382000 5926237.528000,582923.699000 5926200.630000,582911.237000 5926141.552000,582835.410000 5926154.493000,582750.307000 5926169.019000,582517.464000 5926225.987000,582517.458900 5926225.984700,582509.443000 5926222.396000,582384.872000 5926254.849000,582350.388000 5926262.143000,582353.163600 5926267.455300,582353.165000 5926267.458000,582391.573000 5926340.973000,582483.218000 5926531.900000,582497.810000 5926526.334000,582736.954000 5926434.915000,582756.657000 5926427.600000,582787.103000 5926415.963000,582815.750000 5926405.226000,582818.516000 5926404.063000,582822.181000 5926402.448000,582826.744000 5926400.384000,582830.955000 5926398.240000,582834.664000 5926396.181000,582837.625000 5926394.408000,582841.693000 5926391.890000,582845.144000 5926389.715000,582848.673000 5926387.189000,582851.946000 5926384.548000,582854.470000 5926382.192000,582856.053000 5926380.731000,582857.600000 5926379.177000,582861.289000 5926375.867000,582864.441000 5926372.496000,582867.918000 5926368.873000,582870.093000 5926366.261000,582872.840000 5926363.081000,582875.106000 5926360.029000,582912.338000 5926312.654000,582906.010000 5926307.696000,582911.867000 5926300.222000,582909.664000 5926298.496000,582920.258000 5926284.975000,582917.849000 5926283.138000,582925.069000 5926271.624000));EPSG:25832
DE.HH.UP_FRIEDHOEFE_5;000307;Friedhof Finkenriek;Finkenriek;Finkenriek;70;Friedhöfe;Hamburg-Mitte;Wilhelmsburg;136;147;01.10.2025;0,1073;;FHH;Stadtgrün;POLYGON ((566866.031000 5926115.840000,566820.863000 5926121.402000,566818.156000 5926129.480000,566818.068000 5926141.284000,566860.428000 5926141.601000,566865.838000 5926141.641000,566866.031000 5926115.840000));EPSG:25832
DE.HH.UP_FRIEDHOEFE_6;000208;Friedhof Bergstedt;Bergstedter Chaussee;Bergstedter Chaussee;71;Friedhöfe;Wandsbek;Bergstedt;524;538;01.10.2025;8,8458;;Privat;Privat (Kirche);POLYGON ((574557.613000 5947467.608000,574581.199000 5947461.891000,574612.830000 5947454.316000,574616.732000 5947453.401000,574647.354000 5947446.221000,574641.850000 5947427.127000,574670.413000 5947420.656000,574686.167000 5947417.088000,574706.472000 5947412.488000,574710.377000 5947411.603000,574694.872000 5947356.780000,574738.167000 5947346.069000,574782.785000 5947335.029000,574789.035000 5947338.643000,574753.332000 5947212.452000,574748.634000 5947195.807000,574710.321000 5947195.173000,574643.391000 5947195.158000,574566.322000 5947194.832000,574537.603000 5947194.814000,574481.304000 5947194.781000,574478.958000 5947194.757000,574479.076000 5947180.972000,574443.369000 5947180.825000,574442.247000 5947184.158000,574439.228000 5947193.135000,574379.255000 5947192.502000,574378.103000 5947194.237000,574376.285000 5947201.116000,574372.303000 5947217.945000,574392.093000 5947216.471000,574406.238000 5947267.102000,574413.387000 5947292.703000,574420.762000 5947319.113000,574427.052000 5947341.535000,574438.487000 5947382.289000,574445.288000 5947406.526000,574431.252000 5947408.716000,574433.582000 5947418.761000,574436.211000 5947430.096000,574434.648000 5947430.501000,574436.025000 5947445.660000,574438.315000 5947455.235000,574436.937000 5947455.702000,574436.408000 5947455.882000,574437.479000 5947459.643000,574439.535000 5947466.864000,574447.491000 5947494.794000,574450.070000 5947498.453000,574454.263000 5947501.828000,574461.909000 5947504.544000,574470.050000 5947506.141000,574477.941000 5947506.688000,574551.039000 5947500.965000,574561.465000 5947500.291000,574564.046000 5947500.105000,574564.018000 5947499.961000,574557.613000 5947467.608000));EPSG:25832
DE.HH.UP_FRIEDHOEFE_7;000502;Friedhof Stellingen;Molkenbuhrstraße;Molkenbuhrstraße;71;Friedhöfe;Eimsbüttel;Stellingen;321;0;01.10.2025;1,3661;;Privat;Privat (Kirche);POLYGON ((561415.838000 5938389.987000,561418.273000 5938352.661000,561419.707000 5938327.660000,561419.971000 5938321.129000,561418.571000 5938297.227000,561375.011000 5938266.203000,561332.531000 5938323.732000,561257.588000 5938273.030000,561249.952000 5938267.865000,561241.461000 5938289.569000,561237.132000 5938300.809000,561227.579000 5938327.158000,561235.492000 5938331.733000,561238.270000 5938333.338000,561256.000000 5938343.591000,561304.033000 5938371.364000,561309.892000 5938374.751000,561334.843000 5938387.812000,561352.787000 5938353.438000,561415.838000 5938389.987000));EPSG:25832
DE.HH.UP_FRIEDHOEFE_8;000446;Friedhof Finkenriek;König-Georg-Deich;König-Georg-Deich;70;Friedhöfe;Hamburg-Mitte;Wilhelmsburg;136;0;01.10.2025;1,5254;;FHH;Stadtgrün;POLYGON ((566580.622000 5925493.478000,566578.505000 5925491.560000,566516.716000 5925498.936000,566504.933000 5925500.835000,566503.244600 5925501.206700,566503.646800 5925503.730300,566504.407000 5925508.500700,566506.899000 5925525.756400,566481.392600 5925531.681700,566481.491000 5925531.952000,566481.634000 5925553.085000,566481.639000 5925553.797000,566484.016000 5925567.644000,566478.621000 5925568.571000,566452.681000 5925573.024000,566457.159000 5925588.692000,566475.807000 5925653.849000,566483.777000 5925648.923000,566484.449000 5925648.508000,566491.981000 5925644.230800,566499.806800 5925640.518100,566507.884000 5925637.390000,566513.473300 5925635.614100,566519.144000 5925634.118000,566537.672100 5925630.102500,566556.339000 5925626.791900,566575.118000 5925624.191000,566583.007000 5925623.314000,566591.288000 5925622.592000,566590.485000 5925604.588000,566588.274000 5925555.046000,566587.992000 5925548.736000,566586.846000 5925523.049000,566585.735000 5925498.111000,566580.622000 5925493.478000));EPSG:25832
DE.HH.UP_FRIEDHOEFE_9;000447;Friedhof Finkenriek;König-Georg-Deich;König-Georg-Deich;70;Friedhöfe;Hamburg-Mitte;Wilhelmsburg;136;0;01.10.2025;7,0166;;FHH;Stadtgrün;POLYGON ((566933.521000 5925635.914000,566957.192000 5925608.873000,566972.543000 5925596.275000,567000.121000 5925577.392000,567013.523000 5925570.324000,567044.636000 5925561.380000,567059.671000 5925558.696000,567065.952000 5925524.328000,567067.126000 5925517.905000,566888.231000 5925467.936000,566858.874000 5925460.607000,566824.785000 5925456.744000,566792.327000 5925459.163000,566785.755000 5925461.388000,566744.952000 5925475.213000,566743.830000 5925479.145000,566743.304000 5925480.985000,566741.095000 5925485.279000,566738.309000 5925488.579000,566734.767000 5925490.981000,566731.061000 5925492.430000,566727.017000 5925492.947000,566723.086000 5925492.541000,566719.480000 5925491.282000,566716.337000 5925489.244000,566709.845000 5925483.337000,566707.246000 5925481.761000,566704.191000 5925480.279000,566700.635000 5925479.048000,566697.199000 5925478.436000,566692.494000 5925478.242000,566599.809000 5925490.842000,566597.266000 5925493.890000,566598.402000 5925520.822000,566602.682000 5925622.029000,566604.282000 5925621.991000,566615.677300 5925621.998900,566627.061300 5925622.506000,566638.412100 5925623.511300,566649.708000 5925625.013000,566665.831700 5925627.800800,566681.851000 5925631.136800,566697.747300 5925635.017000,566713.502000 5925639.437000,566869.980000 5925686.232000,566877.242000 5925688.406000,566881.425000 5925677.661000,566883.402000 5925672.619000,566902.487000 5925661.377000,566905.196000 5925659.825000,566933.521000 5925635.914000));EPSG:25832
DE.HH.UP_FRIEDHOEFE_10;000623;Heidefriedhof Neugraben;Falkenbergsweg;Falkenbergsweg;70;Friedhöfe;Harburg;Hausbruch;714;0;01.10.2025;15,1307;;FHH;Stadtgrün;POLYGON ((557758.432000 5922764.215000,557771.211000 5922726.716000,557834.962000 5922725.116000,557901.501000 5922710.544000,557971.861000 5922695.134000,558015.277000 5922685.626000,558060.506000 5922489.446000,558020.903000 5922241.837000,557934.825000 5922263.761000,557891.543000 5922281.474000,557846.228000 5922299.515000,557831.222000 5922306.714000,557780.570000 5922309.214000,557769.235000 5922311.465000,557746.421000 5922317.552000,557744.246000 5922326.988000,557713.757000 5922463.097000,557678.405000 5922609.189000,557662.617000 5922675.998000,557649.257000 5922732.985000,557648.262000 5922737.310000,557655.728000 5922736.633000,557683.502000 5922734.117000,557708.949000 5922731.812000,557738.713000 5922729.116000,557732.575000 5922758.949000,557701.378000 5922763.421000,557682.976000 5922764.384000,557678.478000 5922817.111000,557727.811000 5922845.337000,557751.534000 5922764.881000,557758.432000 5922764.215000));EPSG:25832
DE.HH.UP_FRIEDHOEFE_11;000624;Friedhof Neugraben-Fischbek;Scheideholzweg;Scheideholzweg;70;Friedhöfe;Harburg;Neugraben-Fischbek;715;0;01.10.2025;2,3673;;FHH;Stadtgrün;POLYGON ((556008.264000 5924971.372000,556038.853000 5924956.325000,556046.941000 5924943.278000,556034.536000 5924921.707000,556033.516000 5924919.898000,556030.149600 5924913.465200,556027.108400 5924906.872400,556024.400000 5924900.136000,556021.533000 5924891.649100,556019.193000 5924883.002000,556017.437100 5924874.490400,556016.194000 5924865.889000,555982.690000 5924864.558000,555982.194000 5924861.693000,555921.662000 5924834.108000,555905.403000 5924826.699000,555834.934000 5924820.211000,555832.034000 5924826.447000,555830.074000 5924852.328000,555829.490000 5924859.802000,555824.606000 5924922.465000,555864.634000 5924913.164000,555870.730000 5924947.652000,555873.502000 5924964.621000,555885.985000 5924961.134000,555915.291000 5924952.949000,555929.510000 5924948.979000,555929.555000 5924960.114000,555941.980000 5924956.634000,555940.821000 5924977.257000,555956.564000 5924978.146000,555961.652000 5924981.594000,555964.151000 5924985.352000,555964.741000 5924986.832000,555964.561000 5924990.851000,555975.796000 5924994.469000,555987.112000 5924984.461000,555993.740000 5924979.551000,556000.907000 5924975.222000,556008.264000 5924971.372000));EPSG:25832
DE.HH.UP_FRIEDHOEFE_12;000682;Friedhof Bramfeld;Berner Chaussee 50;Berner Chaussee 50;71;Friedhöfe;Wandsbek;Bramfeld;515;0;01.10.2025;3,2995;;Privat;Privat (Kirche);POLYGON ((571967.813600 5941554.619000,571977.134700 5941554.490800,572012.109700 5941554.784400,572013.212200 5941554.821100,572027.730000 5941555.304600,572030.246700 5941555.481400,572030.366600 5941554.130300,572033.891000 5941514.402900,572067.837900 5941517.539900,572068.958300 5941507.345100,572086.279500 5941508.981000,572086.465000 5941506.162000,572088.238000 5941479.221000,572089.451300 5941460.779700,572089.535000 5941459.300800,572091.197400 5941433.996400,572092.156100 5941419.402500,572092.541400 5941413.547100,572092.555000 5941413.548000,572093.481000 5941399.450000,572094.131000 5941389.565000,572094.790000 5941379.536000,572095.638000 5941366.641000,572011.393000 5941361.660000,572008.707000 5941408.225000,571957.282100 5941404.957000,571958.122100 5941389.983000,571929.229100 5941388.168200,571929.226000 5941388.168000,571868.807100 5941384.376300,571869.098200 5941384.904900,571879.534000 5941403.585000,571882.541000 5941436.911000,571884.140000 5941454.643000,571884.513300 5941458.779100,571885.047200 5941464.604000,571886.436600 5941479.733500,571886.376800 5941479.738900,571885.284000 5941480.016000,571886.066000 5941488.617000,571887.641000 5941505.979000,571889.218000 5941523.340000,571892.043000 5941554.449000,571892.178000 5941555.933000,571892.524800 5941555.927500,571892.786800 5941555.917600,571947.853000 5941554.895800,571958.086600 5941554.745600,571967.813600 5941554.619000));EPSG:25832
DE.HH.UP_FRIEDHOEFE_13;000626;Friedhof Wilstorf;Am Frankenberg;Am Frankenberg;71;Friedhöfe;Harburg;Wilstorf;705;722;01.10.2025;0,2128;;Privat;evan. Kirche;POLYGON ((565203.068000 5921379.694000,565210.018000 5921412.221000,565246.552000 5921403.948000,565273.237000 5921397.904000,565269.257000 5921375.451000,565266.664000 5921364.542000,565239.509000 5921373.155000,565203.068000 5921379.694000));EPSG:25832
DE.HH.UP_FRIEDHOEFE_14;000627;Alter Friedhof Neuenfelde;Organistenweg;Organistenweg;71;Friedhöfe;Harburg;Neuenfelde;717;703;01.10.2025;0,4731;;Privat;evan. Kirche;POLYGON ((553733.164000 5930504.294000,553731.900000 5930511.310000,553729.790000 5930523.019000,553734.486000 5930538.155000,553736.873000 5930540.622000,553738.740000 5930538.815000,553744.350000 5930541.519000,553758.396000 5930543.578000,553766.911000 5930542.985000,553775.161000 5930540.511000,553810.781000 5930525.241000,553813.087000 5930525.246000,553810.485000 5930479.002000,553797.809000 5930476.857000,553772.552000 5930472.318000,553765.270000 5930471.729000,553753.545000 5930475.508000,553750.041000 5930477.322000,553742.149000 5930486.053000,553733.164000 5930504.294000));EPSG:25832
DE.HH.UP_FRIEDHOEFE_15;000628;Friedhof Neuenfelde;Organistenweg;Organistenweg;71;Friedhöfe;Harburg;Neuenfelde;717;0;01.10.2025;2,2521;;Privat;evan. Kirche;POLYGON ((553555.566000 5930508.650000,553553.984000 5930482.309000,553553.089000 5930467.436000,553543.488000 5930303.093000,553421.317000 5930314.630000,553437.711000 5930475.996000,553454.170000 5930492.782000,553461.635000 5930495.969000,553491.359000 5930490.590000,553493.167000 5930498.280000,553504.916000 5930494.984000,553505.922000 5930496.242000,553516.004000 5930495.067000,553533.061000 5930494.021000,553535.151100 5930494.074900,553537.200100 5930494.490900,553539.145800 5930495.256200,553540.929000 5930496.347600,553542.495800 5930497.732100,553543.798400 5930499.367500,553544.797300 5930501.204200,553545.462300 5930503.186400,553545.773000 5930505.254000,553548.304000 5930546.150000,553547.450000 5930552.109000,553551.330000 5930550.564000,553556.449000 5930548.292000,553562.442000 5930548.008000,553557.701000 5930544.173000,553555.566000 5930508.650000));EPSG:25832
DE.HH.UP_FRIEDHOEFE_16;000654;Waldfriedhof Wohldorf;Ole Boomgaarden;Ole Boomgaarden;70;Friedhöfe;Wandsbek;Wohldorf-Ohlstedt;523;0;01.10.2025;4,8688;;Privat;HF;POLYGON ((576358.416000 5951712.217000,576363.433000 5951720.864000,576407.543000 5951695.266000,576407.150800 5951694.590300,576402.613500 5951687.152000,576402.775300 5951687.052200,576402.525000 5951686.621000,576433.411400 5951667.796000,576463.957200 5951648.423000,576501.864000 5951623.109000,576513.906300 5951614.861000,576509.215100 5951607.365700,576527.138000 5951594.856000,576527.449000 5951589.867000,576524.572000 5951587.263000,576509.443000 5951606.464000,576409.701000 5951601.905000,576262.822000 5951507.079000,576233.923000 5951538.425000,576226.390000 5951546.596000,576208.009000 5951566.534000,576197.403300 5951568.431200,576174.807500 5951572.722600,576174.605800 5951572.759800,576170.828600 5951573.456000,576166.113400 5951574.325100,576172.704800 5951626.444500,576151.017400 5951629.321400,576155.609300 5951679.817100,576177.820000 5951695.449000,576195.743000 5951708.063000,576226.458000 5951763.991000,576236.474000 5951782.366000,576240.170000 5951780.527000,576243.302800 5951779.003500,576242.119000 5951776.766400,576242.221700 5951776.672900,576242.034000 5951776.287000,576249.712000 5951769.218000,576277.208300 5951755.586200,576304.495200 5951741.539900,576331.566500 5951727.082400,576358.416000 5951712.217000));EPSG:25832
DE.HH.UP_FRIEDHOEFE_17;000655;Jüdischer Friedhof Jenfelder Straße;Jenfelder Straße;Jenfelder Straße;70;Friedhöfe;Wandsbek;Tonndorf;513;549;01.10.2025;0,1103;;Privat;Privat (Jüdische Gmd HH);POLYGON ((573481.226000 5937122.520000,573468.747000 5937138.406000,573520.308000 5937182.970000,573528.166000 5937173.874000,573481.226000 5937122.520000));EPSG:25832
