_fid;idnr;benennung;belegenheit;belegenheit_detail;gruen_code;gruen_art;bezirk;stadtteil;ortsteil;gemarkung;aktualitaet;flaeche_ha;veroeffentlichung_jahr;eigentum;verwaltungsvermoegen;geom;coordinate_reference_system
DE.HH.UP_KLEINGARTENANLAGEN_1;006023;346 Wohngartengem. Besthöhe;Försterweg;Försterweg;61;Kleingärten;Eimsbüttel;Stellingen;321;304;01.10.2025;3,1037;;FHH;AGV;POLYGON ((561561.150000 5936958.957000,561592.995000 5936976.209000,561634.043000 5936998.359000,561635.847000 5936997.097000,561640.346900 5936994.007400,561645.171300 5936991.453800,561650.256500 5936989.469900,561655.535600 5936988.081900,561660.939000 5936987.308000,561661.499000 5936984.335000,561674.342000 5936917.392000,561637.261000 5936897.589000,561560.570000 5936859.310000,561532.102000 5936846.038000,561593.612000 5936757.640000,561632.580000 5936695.482000,561597.580300 5936673.702400,561597.563700 5936673.733300,561597.539200 5936673.769100,561597.481000 5936673.733000,561565.227000 5936720.864000,561471.271000 5936877.857000,561453.126000 5936917.844000,561439.015000 5936954.886000,561430.582000 5936981.938000,561478.553000 5937008.509000,561481.650000 5937010.224000,561520.628000 5936936.852000,561561.150000 5936958.957000));EPSG:25832
DE.HH.UP_KLEINGARTENANLAGEN_2;006024;150 Bundesbahn Landwirtschaft;Försterweg;Försterweg;61;Kleingärten;Eimsbüttel;Stellingen;321;304;01.10.2025;0,4747;;Privat;Deutsche Bahn;POLYGON ((561716.909500 5936529.486600,561716.939600 5936529.198800,561713.779800 5936534.670100,561711.032300 5936535.357100,561701.707100 5936547.382700,561689.682600 5936560.390100,561665.388100 5936587.141400,561650.173300 5936601.130700,561630.050600 5936618.556200,561625.754000 5936620.704900,561624.515800 5936622.632300,561624.810700 5936623.099200,561597.580300 5936673.702400,561632.580000 5936695.482000,561652.063000 5936664.268000,561679.516000 5936607.264000,561692.781000 5936570.664000,561716.909500 5936529.486600));EPSG:25832
DE.HH.UP_KLEINGARTENANLAGEN_3;000041;307 Gartenverein Broockkamp;Burgunderweg - Engernweg;Burgunderweg - Engernweg;60;Dauerkleingärten;Eimsbüttel;Niendorf;318;307;01.10.2025;2,6625;;FHH;AGV;POLYGON ((564369.122700 5942488.610100,564369.062000 5942488.397900,564368.727500 5942488.444600,564368.668600 5942488.453700,564243.166900 5942507.324500,564243.116600 5942507.332000,564243.146000 5942507.429000,564243.191100 5942507.577200,564244.648000 5942512.361000,564252.421600 5942535.824400,564252.424800 5942535.834200,564252.551900 5942536.218000,564261.122900 5942559.924000,564270.314900 5942583.422000,564280.209000 5942606.880900,564291.453900 5942629.841900,564303.485000 5942652.204000,564316.080000 5942674.317000,564329.240100 5942696.096000,564342.764100 5942717.252100,564356.815100 5942738.171000,564356.816800 5942738.173500,564371.446000 5942758.780100,564371.449100 5942758.784100,564386.606000 5942778.934000,564401.927000 5942799.237000,564399.960300 5942671.268100,564399.960200 5942671.262000,564401.680700 5942607.613500,564401.680800 5942607.607000,564401.397200 5942596.192700,564400.532300 5942589.166200,564386.805300 5942543.114700,564369.122700 5942488.610100));EPSG:25832
DE.HH.UP_KLEINGARTENANLAGEN_4;000078;;Steinbeker Weg (Barsbüttel);Steinbeker Weg (Barsbüttel);65;Grün an Kleingärten;Wandsbek;Jenfeld;590;0;01.10.2025;1,8311;;FHH;Stadtgrün;POLYGON ((576179.515400 5935827.960700,576222.641400 5935811.252300,576232.428600 5935835.262900,576252.669300 5935827.881000,576318.788800 5935803.512800,576334.220400 5935789.825400,576313.780900 5935774.685200,576301.706400 5935779.863500,576291.378600 5935783.497100,576284.805000 5935783.470000,576286.359100 5935778.418900,576267.421600 5935773.909500,576309.768100 5935667.060100,576313.444900 5935669.038100,576319.380400 5935653.308100,576338.029100 5935629.606400,576336.474800 5935624.943900,576357.259300 5935611.239800,576344.265700 5935576.763900,576215.173100 5935601.084400,576201.910100 5935604.179500,576187.321000 5935608.600900,576013.695500 5935671.468300,576013.580400 5935672.242900,576013.490800 5935672.870300,576013.405800 5935673.450500,576010.242600 5935695.120300,576009.860700 5935697.943900,576057.753600 5935768.673200,576064.121100 5935752.973400,576050.911000 5935745.202700,576030.706000 5935714.120000,576015.210100 5935692.846100,576030.613200 5935685.607700,576042.749400 5935693.139000,576054.405500 5935699.355500,576071.888300 5935680.317200,576089.371900 5935675.266000,576092.479900 5935670.603500,576189.225700 5935726.162200,576221.475700 5935808.143900,576184.177500 5935821.743800,576180.680800 5935821.355400,576154.649100 5935806.591200,576139.497200 5935831.458400,576149.987600 5935839.229200,576154.650000 5935841.171800,576179.515400 5935827.960700),(576259.939600 5935799.789400,576312.390400 5935780.361100,576317.830100 5935794.737100,576266.156400 5935814.165400,576261.882500 5935811.057200,576254.889200 5935814.554200,576259.939600 5935799.789400),(576211.686000 5935767.572900,576267.631200 5935746.897500,576267.743200 5935746.919900,576268.492200 5935747.182000,576268.791900 5935747.668900,576269.166400 5935748.343100,576269.428600 5935749.129600,576269.503500 5935749.691400,576269.466000 5935750.440400,576269.466000 5935751.301800,576269.497500 5935751.948100,576247.318600 5935825.286600,576234.892400 5935829.785800,576211.686000 5935767.572900),(576272.759700 5935739.370700,576216.035300 5935760.741500,576200.881300 5935721.499400,576196.607600 5935723.053700,576115.791900 5935676.819600,576111.517500 5935663.998000,576204.763200 5935628.639000,576205.151900 5935632.135800,576288.296900 5935620.477600,576303.839300 5935659.719700,576292.961300 5935685.752000,576280.917100 5935690.803200,576285.968400 5935704.402000,576272.759700 5935739.370700));EPSG:25832
DE.HH.UP_KLEINGARTENANLAGEN_5;000132;;Bachstücken - Wiesenredder;Bachstücken - Wiesenredder;65;Grün an Kleingärten;Wandsbek;Rahlstedt;526;543;01.10.2025;1,1975;;FHH;Stadtgrün;POLYGON ((578515.224100 5939260.476000,578515.224100 5939260.466000,578515.221100 5939259.482000,578515.221100 5939259.471400,578515.167400 5939243.337600,578514.209700 5939243.326900,578513.457900 5939240.795900,578511.248600 5939237.400300,578507.622800 5939234.567500,578504.039000 5939232.484400,578496.985400 5939229.680700,578490.213800 5939228.343300,578466.248100 5939228.332800,578454.965100 5939229.917300,578441.674200 5939233.107400,578428.788200 5939237.670000,578420.493500 5939241.448700,578409.862300 5939246.868100,578398.382100 5939249.710000,578376.799300 5939249.902600,578359.628900 5939249.025500,578344.968500 5939247.948000,578336.991400 5939247.085900,578329.445700 5939247.086100,578310.473400 5939247.949000,578299.693700 5939249.027300,578291.575600 5939249.588300,578267.944600 5939249.579000,578260.240000 5939249.459700,578232.973800 5939247.519900,578213.240500 5939245.149300,578207.850700 5939244.071600,578202.141600 5939244.419100,578194.931400 5939245.952600,578189.971400 5939248.177800,578190.278400 5939252.261900,578187.122800 5939256.848000,578176.978500 5939280.690500,578164.087100 5939297.967600,578159.344200 5939302.710400,578157.675000 5939308.846700,578157.625700 5939309.035200,578179.335300 5939308.978000,578195.719800 5939308.934900,578225.708700 5939308.854300,578230.705700 5939308.840500,578255.198200 5939308.777300,578284.687000 5939308.698300,578318.836200 5939308.606900,578339.915300 5939308.551400,578339.960900 5939308.551300,578345.436800 5939308.536500,578350.446100 5939308.523100,578354.473900 5939308.512400,578450.752400 5939308.256300,578470.400600 5939308.204300,578470.398600 5939308.214000,578468.320000 5939313.807200,578448.109900 5939368.191100,578420.055800 5939443.687500,578409.925800 5939470.948200,578400.280700 5939496.903900,578450.268700 5939520.631700,578462.963800 5939526.822700,578470.795800 5939530.642200,578470.669800 5939524.243100,578470.862200 5939517.306400,578471.440200 5939515.765000,578471.247400 5939512.489300,578467.585800 5939507.479500,578467.971100 5939504.589200,578466.841100 5939504.400900,578464.502400 5939504.011200,578464.887700 5939501.698900,578463.346100 5939501.506200,578463.770200 5939498.782300,578464.490500 5939494.817500,578466.005200 5939486.480500,578466.621000 5939484.164500,578489.166800 5939487.632900,578487.711700 5939496.322900,578482.617200 5939526.748200,578478.185100 5939526.362700,578477.218400 5939533.775500,578484.568200 5939537.359700,578504.889000 5939426.802000,578510.302000 5939381.576000,578513.115000 5939361.112000,578515.465000 5939332.653000,578515.224100 5939260.476000),(578506.084000 5939375.428900,578507.102500 5939376.854700,578507.510000 5939378.076800,578505.677300 5939388.261200,578500.993600 5939415.758700,578497.939100 5939432.257300,578494.070000 5939456.903400,578493.459200 5939461.791800,578493.190600 5939463.797400,578489.997700 5939485.215700,578467.183300 5939481.752900,578470.817500 5939457.645300,578474.310100 5939434.090600,578477.364300 5939411.888800,578480.825900 5939387.853800,578481.436800 5939383.576500,578483.066100 5939379.706400,578486.121500 5939376.854800,578488.158400 5939376.040000,578504.047000 5939375.428900,578506.084000 5939375.428900),(578505.803800 5939278.563400,578502.672900 5939278.567500,578490.405700 5939278.471400,578478.344900 5939278.354500,578475.951900 5939278.371600,578459.951500 5939278.252900,578445.197900 5939278.233200,578430.524400 5939278.198600,578415.167200 5939278.105100,578400.256900 5939278.105500,578385.223500 5939278.105000,578370.471100 5939278.114400,578356.893200 5939278.060800,578355.125900 5939277.373100,578355.054200 5939277.366300,578355.525100 5939256.135000,578416.636200 5939255.922500,578420.218300 5939248.336600,578460.678000 5939237.167100,578499.010300 5939237.583100,578506.150500 5939241.052600,578506.253200 5939258.008100,578505.845700 5939277.210200,578505.803800 5939278.563400),(578476.547800 5939381.335900,578476.344400 5939387.650200,578473.494400 5939417.795700,578471.254500 5939432.868500,578468.403800 5939451.811200,578467.575300 5939456.753800,578465.756700 5939469.124500,578449.870600 5939510.879900,578408.925800 5939494.789400,578427.071500 5939445.616500,578441.716600 5939405.371100,578448.641200 5939386.631900,578451.900000 5939381.132400,578455.159100 5939379.299300,578476.547800 5939381.335900),(578478.632900 5939366.664700,578452.275300 5939366.416200,578463.988700 5939330.635000,578467.807700 5939318.667500,578469.294300 5939313.723000,578473.409000 5939301.862000,578450.676400 5939302.608600,578447.826600 5939302.700700,578418.324600 5939303.333600,578388.611800 5939303.334400,578354.473700 5939303.546000,578354.960900 5939281.573600,578371.154000 5939281.280000,578384.949800 5939281.182600,578399.897200 5939281.094200,578416.237000 5939281.003800,578428.843200 5939281.035400,578445.002100 5939281.011000,578460.653400 5939281.140600,578473.507900 5939281.322400,578490.259000 5939281.573100,578501.819500 5939281.555000,578505.704000 5939281.785200,578505.517100 5939287.818500,578505.488000 5939310.620600,578505.242300 5939345.403200,578490.218200 5939345.530600,578484.743500 5939350.750600,578478.377300 5939350.750600,578478.632900 5939366.664700),(578339.718000 5939291.069000,578339.841800 5939302.041500,578310.625900 5939302.242300,578257.078600 5939303.508600,578218.499300 5939303.720400,578181.128100 5939304.495800,578181.185000 5939304.353700,578199.735000 5939256.923000,578266.774300 5939257.132000,578309.780500 5939256.287500,578339.505500 5939255.865000,578339.718000 5939291.069000));EPSG:25832
DE.HH.UP_KLEINGARTENANLAGEN_6;000084;;Eckerkoppel;Eckerkoppel;65;Grün an Kleingärten;Wandsbek;Farmsen-Berne;514;545;01.10.2025;0,0639;;FHH;Stadtgrün;POLYGON ((573554.226100 5939691.476200,573554.229800 5939691.473200,573555.514200 5939690.411200,573555.518000 5939690.408100,573556.141400 5939689.892800,573550.480700 5939688.855200,573491.638900 5939739.327900,573472.362400 5939717.010100,573431.272800 5939667.555900,573424.365700 5939666.753100,573426.406200 5939668.848700,573436.793200 5939679.921900,573439.092400 5939682.426100,573449.038100 5939693.897100,573449.101400 5939693.971300,573458.923200 5939705.548700,573460.339100 5939707.251900,573470.043100 5939718.928300,573479.373400 5939730.558400,573490.128400 5939744.411600,573554.226100 5939691.476200));EPSG:25832
DE.HH.UP_KLEINGARTENANLAGEN_7;000085;;Eckerkoppel;Eckerkoppel;65;Grün an Kleingärten;Wandsbek;Farmsen-Berne;514;0;01.10.2025;0,4478;;FHH;Stadtgrün;POLYGON ((573679.604500 5939612.833400,573676.006300 5939613.481200,573672.768900 5939617.570500,573672.257800 5939623.363700,573643.802400 5939620.298200,573645.676700 5939604.282000,573661.011800 5939605.303500,573661.011800 5939608.711200,573664.249200 5939608.711000,573664.078900 5939610.755700,573667.997900 5939611.436900,573678.434200 5939608.530300,573676.358100 5939600.725600,573676.151400 5939599.961900,573676.150600 5939599.958800,573676.157000 5939599.960000,573673.782000 5939593.114000,573669.486000 5939586.332000,573667.948000 5939580.572000,573663.433000 5939563.674000,573660.534000 5939559.244000,573656.962000 5939558.547000,573649.880000 5939594.831000,573649.874500 5939594.829900,573649.873700 5939594.834000,573635.608100 5939592.050300,573630.257900 5939620.138800,573628.400700 5939620.510200,573615.399800 5939619.396600,573613.914000 5939626.454000,573594.598500 5939637.226700,573593.855500 5939639.826900,573543.338300 5939629.800200,573543.338300 5939626.085700,573540.738200 5939626.085800,573539.252400 5939628.685900,573448.618600 5939609.374900,573444.904100 5939608.260700,573435.617900 5939604.918200,573372.843000 5939573.719900,573368.014500 5939570.748600,573362.814600 5939566.291500,573360.957500 5939562.205800,573360.586100 5939559.234100,573360.586100 5939554.405400,573369.500200 5939556.633900,573372.938100 5939540.818900,573370.252100 5939540.294000,573377.496300 5939503.262300,573364.818000 5939500.693700,573358.735000 5939531.901100,573354.908100 5939551.529000,573351.448300 5939569.135600,573351.671900 5939569.263300,573439.703900 5939612.718200,573442.304000 5939613.461000,573540.738200 5939634.257500,573593.112600 5939644.655600,573589.465200 5939662.371200,573592.880000 5939659.551700,573634.682900 5939625.029400,573634.687000 5939625.026000,573684.957000 5939631.727300,573684.687500 5939630.787100,573684.686200 5939630.782700,573683.897800 5939628.071100,573682.265500 5939622.373500,573681.570100 5939619.911300,573681.234200 5939618.739300,573681.029500 5939617.983200,573679.604500 5939612.833400));EPSG:25832
DE.HH.UP_KLEINGARTENANLAGEN_8;000109;;Leeschenblick;Leeschenblick;65;Grün an Kleingärten;Wandsbek;Steilshoop;516;547;01.10.2025;0,1302;;FHH;Stadtgrün;POLYGON ((570688.736300 5941272.600600,570699.028300 5941268.679400,570710.021600 5941282.494500,570718.192500 5941292.298700,570721.609300 5941298.092200,570727.106000 5941307.005200,570734.481100 5941319.712400,570764.629500 5941373.453900,570771.876600 5941384.323700,570773.762400 5941398.195200,570767.836400 5941401.831800,570773.358500 5941410.316000,570772.579800 5941415.099100,570775.549600 5941412.858000,570777.505000 5941387.065000,570766.511000 5941370.303000,570761.102000 5941361.579000,570757.503000 5941355.542000,570754.089000 5941349.419000,570738.748000 5941320.852000,570731.480000 5941307.710000,570725.101100 5941296.834000,570725.098400 5941296.829900,570718.420000 5941286.821000,570718.417300 5941286.817100,570708.792800 5941273.144200,570708.789800 5941273.140600,570703.592800 5941267.037300,570703.590100 5941267.034000,570701.768800 5941264.623200,570701.764800 5941264.619700,570700.358600 5941261.915700,570683.791000 5941268.321000,570673.671100 5941306.008800,570696.495700 5941336.131700,570700.392000 5941341.274100,570705.252400 5941347.688900,570731.034800 5941381.715000,570736.474900 5941388.894700,570751.247100 5941408.390900,570753.136300 5941410.884300,570757.849200 5941417.118700,570760.902000 5941421.148000,570761.774800 5941422.299800,570762.230000 5941422.895600,570764.117600 5941421.476800,570738.839300 5941387.597900,570699.175500 5941334.973400,570678.972700 5941307.899200,570688.736300 5941272.600600));EPSG:25832
DE.HH.UP_KLEINGARTENANLAGEN_9;000244;;Barmwisch;Barmwisch;65;Grün an Kleingärten;Wandsbek;Bramfeld;515;0;01.10.2025;0,4532;;FHH;Stadtgrün;POLYGON ((571851.793500 5939807.959600,571860.810800 5939794.448500,571863.860200 5939789.879400,571869.807900 5939780.967600,571872.836000 5939776.280400,571865.001400 5939770.741900,571860.592000 5939773.191800,571845.404200 5939761.596400,571841.637500 5939758.806200,571847.854000 5939750.980700,571875.518800 5939772.127500,571876.304300 5939770.911600,571878.344800 5939768.021000,571882.068000 5939762.746800,571888.186500 5939754.823900,571894.723800 5939747.265900,571901.613000 5939740.043700,571902.262100 5939739.412700,571902.594600 5939739.089300,571908.781100 5939733.074500,571909.410800 5939732.486700,571912.794400 5939729.326900,571916.078100 5939726.259100,571917.863900 5939724.700000,571915.906800 5939722.116400,571914.874400 5939720.980700,571913.222400 5939720.671000,571910.744400 5939723.045800,571898.251700 5939710.449100,571900.832900 5939707.454900,571897.735500 5939703.944300,571898.355100 5939703.737900,571907.234500 5939695.684200,571922.514900 5939712.927100,571919.004400 5939715.921400,571918.797900 5939716.953800,571922.082400 5939721.016600,571923.617000 5939719.676700,571925.200000 5939718.864000,571928.881700 5939716.973500,571921.998700 5939708.487300,571907.750800 5939691.347700,571905.875500 5939689.080400,571900.833300 5939682.984400,571895.366100 5939678.459600,571878.992700 5939691.954500,571875.444800 5939696.249400,571858.639000 5939716.789900,571851.916800 5939725.006300,571849.862700 5939727.433700,571822.413200 5939760.298700,571820.062600 5939762.969700,571828.582800 5939770.088900,571838.708000 5939778.418100,571849.159800 5939786.583800,571856.882500 5939791.796800,571847.655500 5939805.313400,571847.624500 5939805.358800,571840.524100 5939800.832800,571828.582400 5939793.181800,571808.984700 5939780.540700,571790.611000 5939768.828000,571790.810700 5939768.532100,571803.759200 5939749.346900,571800.798100 5939747.170600,571798.075600 5939745.383900,571770.410600 5939778.718100,571769.829900 5939780.072900,571762.281600 5939778.524300,571729.378500 5939772.910300,571718.540000 5939765.168000,571704.798200 5939755.683600,571692.217800 5939745.812200,571682.347000 5939737.876400,571677.139800 5939733.710300,571676.335200 5939734.615500,571700.283500 5939755.088900,571729.604200 5939780.155200,571731.531500 5939777.864100,571775.093600 5939785.173700,571811.965100 5939791.360400,571844.991800 5939818.151100,571851.793500 5939807.959600),(571894.910600 5939687.620000,571899.190100 5939683.750200,571899.534900 5939684.131000,571904.788500 5939689.941300,571906.319900 5939691.635000,571902.346200 5939695.290100,571894.554700 5939702.456700,571892.230400 5939699.886100,571887.334000 5939694.471000,571894.910600 5939687.620000),(571833.972100 5939768.455700,571839.598500 5939761.373100,571846.873800 5939767.312400,571858.305500 5939776.458100,571857.162200 5939778.091300,571857.162200 5939781.194300,571857.587400 5939785.163600,571833.972100 5939768.455700),(571859.384300 5939726.091100,571870.489700 5939713.417700,571900.016200 5939737.327100,571900.389100 5939737.673400,571894.006100 5939745.558400,571890.739800 5939749.477900,571883.292600 5939758.231800,571878.981100 5939763.719200,571876.431800 5939766.574500,571845.012600 5939742.814800,571859.384300 5939726.091100));EPSG:25832
DE.HH.UP_KLEINGARTENANLAGEN_10;000250;;Rathbusch;Rathbusch;65;Grün an Kleingärten;Hamburg-Nord;Groß Borstel;406;419;01.10.2025;0,0258;;FHH;AGV;POLYGON ((565294.901900 5940479.030000,565287.206800 5940496.286100,565296.639400 5940500.328500,565311.731800 5940507.605000,565312.275800 5940507.786400,565312.242400 5940507.731100,565296.042100 5940480.917100,565294.901900 5940479.030000));EPSG:25832
